import time: self [us] | cumulative | imported package
import time:      1037 |      11832 |                 markdown_it.helpers.parse_link_label
import time:       192 |        192 |                 markdown_it.helpers.parse_link_title
import time:       338 |      16180 |               markdown_it.helpers
import time:       376 |        376 |                 markdown_it.presets.commonmark
import time:       157 |        157 |                 markdown_it.presets.default
import time:       165 |        165 |                 markdown_it.presets.zero
import time:       288 |        984 |               markdown_it.presets
import time:       401 |        401 |                   mdurl._decode
import time:       191 |        191 |                   mdurl._encode
import time:       164 |        164 |                   mdurl._format
import time:       414 |        414 |                     mdurl._url
import time:       574 |        987 |                   mdurl._parse
import time:       353 |       2094 |                 mdurl
import time:       759 |        759 |                 markdown_it._punycode
import time:       873 |       3724 |               markdown_it.common.normalize_url
import time:       665 |        665 |                     markdown_it.rules_block.state_block
import time:       929 |       1594 |                   markdown_it.rules_block.blockquote
import time:       433 |        433 |                   markdown_it.rules_block.code
import time:       291 |        291 |                   markdown_it.rules_block.fence
import time:       241 |        241 |                   markdown_it.rules_block.heading
import time:       201 |        201 |                   markdown_it.rules_block.hr
import time:       231 |        231 |                     markdown_it.common.html_blocks
import time:      2003 |       2234 |                   markdown_it.rules_block.html_block
import time:       296 |        296 |                   markdown_it.rules_block.lheading
import time:       259 |        259 |                   markdown_it.rules_block.list
import time:       208 |        208 |                   markdown_it.rules_block.paragraph
import time:       214 |        214 |                   markdown_it.rules_block.reference
import time:       308 |        308 |                   markdown_it.rules_block.table
import time:       858 |       7131 |                 markdown_it.rules_block
import time:      1374 |       8504 |               markdown_it.parser_block
import time:       196 |        196 |                     markdown_it.rules_core.state_core
import time:       612 |        808 |                   markdown_it.rules_core.block
import time:       184 |        184 |                   markdown_it.rules_core.inline
import time:       319 |        319 |                   markdown_it.rules_core.linkify
import time:       247 |        247 |                   markdown_it.rules_core.normalize
import time:       567 |        567 |                   markdown_it.rules_core.replacements
import time:       335 |        335 |                   markdown_it.rules_core.smartquotes
import time:       194 |        194 |                   markdown_it.rules_core.text_join
import time:       309 |       2960 |                 markdown_it.rules_core
import time:       241 |       3201 |               markdown_it.parser_core
import time:       276 |        276 |               markdown_it.parser_inline
import time:       350 |        350 |               markdown_it.renderer
import time:        84 |         84 |               linkify_it
import time:       866 |      34165 |             markdown_it.main
import time:       387 |      34552 |           markdown_it
import time:       294 |        294 |           rich._stack
import time:       337 |        337 |           rich.rule
import time:       363 |        363 |               pygments
import time:       304 |        304 |               pygments.filter
import time:      1611 |       1611 |                 pygments.token
import time:      1558 |       1558 |                 pygments.util
import time:       116 |        116 |                       _csv
import time:      1080 |       1196 |                     csv
import time:       484 |        484 |                     email
import time:       248 |        248 |                       binascii
import time:        88 |         88 |                         _struct
import time:       559 |        647 |                       struct
import time:      1027 |       1027 |                         zipfile._path.glob
import time:      1364 |       2390 |                       zipfile._path
import time:      1916 |       5199 |                     zipfile
import time:       569 |        569 |                         quopri
import time:       280 |        280 |                             _socket
import time:      3064 |       3343 |                           socket
import time:      1636 |       1636 |                             calendar
import time:      1078 |       2714 |                           email._parseaddr
import time:      1134 |       1134 |                               base64
import time:       834 |       1967 |                             email.base64mime
import time:       984 |        984 |                             email.quoprimime
import time:      1027 |       1027 |                             email.errors
import time:       634 |        634 |                             email.encoders
import time:       890 |       5501 |                           email.charset
import time:      1211 |      12768 |                         email.utils
import time:      1383 |       1383 |                           email.header
import time:      1117 |       2499 |                         email._policybase
import time:       743 |        743 |                         email._encoded_words
import time:       464 |        464 |                         email.iterators
import time:      1706 |      18747 |                       email.message
import time:       496 |        496 |                         importlib.metadata._functools
import time:       390 |        886 |                       importlib.metadata._text
import time:      1112 |      20743 |                     importlib.metadata._adapters
import time:      1285 |       1285 |                     importlib.metadata._meta
import time:       991 |        991 |                     importlib.metadata._collections
import time:       351 |        351 |                     importlib.metadata._itertools
import time:       932 |        932 |                           tempfile
import time:       614 |        614 |                           importlib.resources.abc
import time:       490 |        490 |                           importlib.resources._adapters
import time:       905 |       2939 |                         importlib.resources._common
import time:       434 |        434 |                         importlib.resources._legacy
import time:       383 |       3755 |                       importlib.resources
import time:       557 |       4311 |                     importlib.abc
import time:      2175 |      36732 |                   importlib.metadata
import time:       806 |      37538 |                 pygments.plugin
import time:      1112 |      41817 |               pygments.filters
import time:       361 |        361 |               pygments.regexopt
import time:      1192 |      44034 |             pygments.lexer
import time:      2216 |       2216 |               pygments.lexers._mapping
import time:       400 |        400 |               pygments.modeline
import time:       492 |       3107 |             pygments.lexers
import time:       454 |        454 |             pygments.style
import time:       441 |        441 |               pygments.styles._mapping
import time:       301 |        742 |             pygments.styles
import time:       950 |      49285 |           rich.syntax
import time:       783 |      85249 |         rich.markdown
import time:      1094 |     145458 |       typer.rich_utils
import time:      1099 |     149251 |     typer.core
import time:      4539 |       4539 |     rich.traceback
import time:      1382 |     177188 |   typer.main
import time:       531 |     223724 | typer
import time:      2337 |       2337 |     dotenv.parser
import time:       564 |        564 |     dotenv.variables
import time:       973 |       3873 |   dotenv.main
import time:       569 |       4442 | dotenv
import time:       509 |        509 |   loguru._defaults
import time:       577 |        577 |         multiprocessing.process
import time:       562 |        562 |             _compat_pickle
import time:       101 |        101 |             _pickle
import time:      1135 |       1797 |           pickle
import time:       498 |       2295 |         multiprocessing.reduction
import time:       988 |       3859 |       multiprocessing.context
import time:       459 |       4318 |     multiprocessing
import time:       368 |        368 |             concurrent
import time:      2209 |       2209 |             concurrent.futures._base
import time:      1592 |       4168 |           concurrent.futures
import time:        63 |         63 |             _heapq
import time:       741 |        804 |           heapq
import time:      3932 |       3932 |             _ssl
import time:      3374 |       7305 |           ssl
import time:       478 |        478 |           asyncio.constants
import time:       318 |        318 |           asyncio.coroutines
import time:       325 |        325 |               _contextvars
import time:       394 |        718 |             contextvars
import time:       278 |        278 |             asyncio.format_helpers
import time:       343 |        343 |               asyncio.base_futures
import time:       333 |        333 |               asyncio.exceptions
import time:       277 |        277 |               asyncio.base_tasks
import time:       621 |       1573 |             _asyncio
import time:       777 |       3344 |           asyncio.events
import time:       447 |        447 |           asyncio.futures
import time:       561 |        561 |           asyncio.protocols
import time:      1156 |       1156 |             asyncio.transports
import time:       413 |        413 |             asyncio.log
import time:      2212 |       3781 |           asyncio.sslproto
import time:       407 |        407 |               asyncio.mixins
import time:       730 |       1136 |             asyncio.locks
import time:       577 |        577 |               asyncio.timeouts
import time:       756 |       1332 |             asyncio.tasks
import time:       491 |       2959 |           asyncio.staggered
import time:       362 |        362 |           asyncio.trsock
import time:      1814 |      26335 |         asyncio.base_events
import time:       484 |        484 |         asyncio.runners
import time:       487 |        487 |         asyncio.queues
import time:       629 |        629 |         asyncio.streams
import time:       435 |        435 |         asyncio.subprocess
import time:       442 |        442 |         asyncio.taskgroups
import time:       227 |        227 |         asyncio.threads
